brand, product_name, shipping
GIGABYTE,GIGABYTE GeForce RTX 2070 GAMING OC 8G Graphics Card| 3 x WINDFORCE Fans| 8GB 256-Bit GDDR6| GV-N2070GAMING OC-8GC Video Card,Free Shipping
ASUS,ASUS GeForce GTX 1050 Ti PH-GTX1050TI-4G 4GB 128-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card,Free Shipping
ASUS,ASUS Cerberus GeForce GTX 1050 Ti 4GB OC Edition GDDR5 Gaming Graphics Card| CERBERUS-GTX1050TI-O4G,Free Shipping
EVGA,EVGA GeForce RTX 2080 Ti FTW3 ULTRA GAMING| 11G-P4-2487-KR| 11GB GDDR6| iCX2 & RGB LED,Free Shipping
ASUS,ASUS Turbo GeForce RTX 2080 DirectX 12 TURBO-RTX2080-8G 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,Free Shipping
MSI,MSI GeForce RTX 2080 DUKE 8G OC Video Card,Free Shipping
PowerColor,PowerColor RED DEVIL Radeon RX 570 DirectX 12 AXRX 570 4GBD5-3DH/OC 4GB 256-Bit GDDR5 PCI Express 3.0 CrossFireX Support ATX Video Card,Free Shipping
GIGABYTE,GIGABYTE AORUS Radeon RX 580 DirectX 12 GV-RX580AORUS-4GD 4GB 256-Bit GDDR5 PCI Express 3.0 x16 CrossFireX Support ATX Video Card,Free Shipping
ZOTAC,ZOTAC GAMING GeForce RTX 2060 Twin Fan 6GB GDDR6 192-bit Gaming Graphics Card| Super Compact| IceStorm 2.0| ZT-T20600F-10M,Free Shipping
EVGA,EVGA GeForce GTX 1660 Ti XC GAMING| 06G-P4-1263-KR| 6GB GDDR6| HDB Fan,Free Shipping
PowerColor,PowerColor RED DRAGON Radeon RX Vega 56 DirectX 12 AXRX VEGA 56 8GBHBM2-2D2HD/OC 8GB 2048-Bit HBM2 PCI Express 3.0 CrossFireX Support ATX Video Card,Free Shipping
ASUS,ASUS Turbo GeForce GTX 1070 TURBO-GTX1070-8G 8GB 256-Bit GDDR5 PCI Express 3.0 HDCP Ready SLI Support Video Card,Free Shipping
ASUS,ASUS Turbo GeForce RTX 2060 DirectX 12 TURBO-RTX2060-6G 6GB 192-Bit GDDR6 HDCP Ready Video Card,Free Shipping
MSI,MSI GeForce GTX 1070 DirectX 12 GTX 1070 AERO ITX 8G OC 8GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,Free Shipping
ASUS,ASUS Dual GeForce RTX 2070 DirectX 12 DUAL-RTX2070-O8G 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,Free Shipping
GIGABYTE,GIGABYTE AORUS RTX 2070 GAMING BOX GeForce RTX 2070 DirectX 12 GV-N2070IXEB-8GC 8GB 256-Bit GDDR6 PCI Express 3.0 x4 ATX Video Card,Free Shipping
GIGABYTE,GIGABYTE GeForce GTX 1050 Ti DirectX 12 GV-N105TD5-4GD 4GB 128-Bit GDDR5 PCI Express 3.0 x16 ATX Video Cards,Free Shipping
PNY Technologies, Inc.,PNY GeForce GTX 1070 Ti DirectX 12 VCGGTX1070T8PB-CG 8GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,Free Shipping
